Unnamed: 0,TV Ad Budget ($),Radio Ad Budget ($),Newspaper Ad Budget ($),Sales ($),gender
83,84,68.4,44.5,35.6,13.6,female
84,85,213.5,43.0,33.8,21.7,male
85,86,193.2,18.4,65.7,15.2,male
86,87,76.3,27.5,16.0,12.0,male
87,88,110.7,40.6,63.2,16.0,male
88,89,88.3,25.5,73.4,12.9,female
89,90,109.8,47.8,51.4,16.7,female
90,91,134.3,4.9,9.3,11.2,male
91,92,28.6,1.5,33.0,7.3,male
92,93,217.7,33.5,59.0,19.4,female
93,94,250.9,36.5,72.3,22.2,female
94,95,107.4,14.0,10.9,11.5,female
95,96,163.3,31.6,52.9,16.9,female
96,97,197.6,3.5,5.9,11.7,female
97,98,184.9,21.0,22.0,15.5,male
98,99,289.7,42.3,51.2,25.4,female
99,100,135.2,41.7,45.9,17.2,male
100,101,222.4,4.3,49.8,11.7,male
101,102,296.4,36.3,100.9,23.8,female
102,103,280.2,10.1,21.4,14.8,male
103,104,187.9,17.2,17.9,14.7,male
104,105,238.2,34.3,5.3,20.7,female
105,106,137.9,46.4,59.0,19.2,female
106,107,25.0,11.0,29.7,7.2,female
107,108,90.4,0.3,23.2,8.7,male
108,109,13.1,0.4,25.6,5.3,female
109,110,255.4,26.9,5.5,19.8,male
110,111,225.8,8.2,56.5,13.4,female
111,112,241.7,38.0,23.2,21.8,female
112,113,175.7,15.4,2.4,14.1,male
113,114,209.6,20.6,10.7,15.9,male
114,115,78.2,46.8,34.5,14.6,male
115,116,75.1,35.0,52.7,12.6,male
116,117,139.2,14.3,25.6,12.2,female
117,118,76.4,0.8,14.8,9.4,female
118,119,125.7,36.9,79.2,15.9,male
119,120,19.4,16.0,22.3,6.6,male
120,121,141.3,26.8,46.2,15.5,male
121,122,18.8,21.7,50.4,7.0,female
122,123,224.0,2.4,15.6,11.6,male
123,124,123.1,34.6,12.4,15.2,male
124,125,229.5,32.3,74.2,19.7,female
125,126,87.2,11.8,25.9,10.6,female
126,127,7.8,38.9,50.6,6.6,male
127,128,80.2,0.0,9.2,8.8,male
128,129,220.3,49.0,3.2,24.7,female
129,130,59.6,12.0,43.1,9.7,male
130,131,0.7,39.6,8.7,1.6,female
131,132,265.2,2.9,43.0,12.7,male
132,133,8.4,27.2,2.1,5.7,female
133,134,219.8,33.5,45.1,19.6,male
134,135,36.9,38.6,65.6,10.8,female
135,136,48.3,47.0,8.5,11.6,female
136,137,25.6,39.0,9.3,9.5,male
137,138,273.7,28.9,59.7,20.8,male
138,139,43.0,25.9,20.5,9.6,male
139,140,184.9,43.9,1.7,20.7,female
140,141,73.4,17.0,12.9,10.9,female
141,142,193.7,35.4,75.6,19.2,female
142,143,220.5,33.2,37.9,20.1,male
143,144,104.6,5.7,34.4,10.4,male
144,145,96.2,14.8,38.9,11.4,male
145,146,140.3,1.9,9.0,10.3,female
146,147,240.1,7.3,8.7,13.2,male
147,148,243.2,49.0,44.3,25.4,male
148,149,38.0,40.3,11.9,10.9,female
149,150,44.7,25.8,20.6,10.1,female
150,151,280.7,13.9,37.0,16.1,female
151,152,121.0,8.4,48.7,11.6,male
152,153,197.6,23.3,14.2,16.6,female
153,154,171.3,39.7,37.7,19.0,female
154,155,187.8,21.1,9.5,15.6,female
155,156,4.1,11.6,5.7,3.2,female
156,157,93.9,43.5,50.5,15.3,female
157,158,149.8,1.3,24.3,10.1,male
158,159,11.7,36.9,45.2,7.3,male
159,160,131.7,18.4,34.6,12.9,female
160,161,172.5,18.1,30.7,14.4,female
161,162,85.7,35.8,49.3,13.3,female
162,163,188.4,18.1,25.6,14.9,female
163,164,163.5,36.8,7.4,18.0,female
164,165,117.2,14.7,5.4,11.9,male
165,166,234.5,3.4,84.8,11.9,female
166,167,17.9,37.6,21.6,8.0,male
167,168,206.8,5.2,19.4,12.2,female
168,169,215.4,23.6,57.6,17.1,male
169,170,284.3,10.6,6.4,15.0,male
170,171,50.0,11.6,18.4,8.4,male
171,172,164.5,20.9,47.4,14.5,female
172,173,19.6,20.1,17.0,7.6,male
173,174,168.4,7.1,12.8,11.7,male
174,175,222.4,3.4,13.1,11.5,male
175,176,276.9,48.9,41.8,27.0,female
176,177,248.4,30.2,20.3,20.2,male
177,178,170.2,7.8,35.2,11.7,female
178,179,276.7,2.3,23.7,11.8,female
179,180,165.6,10.0,17.6,12.6,male
180,181,156.6,2.6,8.3,10.5,female
181,182,218.5,5.4,27.4,12.2,male
182,183,56.2,5.7,29.7,8.7,male
183,184,287.6,43.0,71.8,26.2,male
184,185,253.8,21.3,30.0,17.6,female
185,186,205.0,45.1,19.6,22.6,female
186,187,139.5,2.1,26.6,10.3,female
187,188,191.1,28.7,18.2,17.3,male
188,189,286.0,13.9,3.7,15.9,female
189,190,18.7,12.1,23.4,6.7,male
190,191,39.5,41.1,5.8,10.8,female
191,192,75.5,10.8,6.0,9.9,female
192,193,17.2,4.1,31.6,5.9,female
193,194,166.8,42.0,3.6,19.6,male
194,195,149.7,35.6,6.0,17.3,male
195,196,38.2,3.7,13.8,7.6,female
196,197,94.2,4.9,8.1,9.7,female
197,198,177.0,9.3,6.4,12.8,male
198,199,283.6,42.0,66.2,25.5,female
199,200,232.1,8.6,8.7,13.4,male
